         82330516 function calls (76560663 primitive calls) in 439.952 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1873    0.101    0.000    0.114    0.000 decoder.py:345(raw_decode)
    31630    0.057    0.000    0.113    0.000 atoms.py:528(set_tags)
    14965    0.067    0.000    0.113    0.000 ulm.py:281(child)
     1878    0.003    0.000    0.112    0.000 ulm.py:490(read)
    14598    0.112    0.000    0.112    0.000 relax_attaches.py:34(<listcomp>)
        1    0.000    0.000    0.111    0.111 globalOptim_ase3d.py:205(createInitalStructure)
        1    0.005    0.005    0.111    0.111 startgenerator.py:88(get_new_candidate)
    11352    0.010    0.000    0.111    0.000 fromnumeric.py:1487(nonzero)
        1    0.000    0.000    0.110    0.110 __init__.py:24(<module>)
     1878    0.022    0.000    0.109    0.000 ulm.py:493(__getitem__)
       14    0.000    0.000    0.109    0.008 hashlib.py:116(__get_openssl_constructor)
     2500    0.010    0.000    0.109    0.000 fromnumeric.py:3030(var)
        8    0.000    0.000    0.109    0.014 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.109    0.109 __init__.py:3(<module>)
        1    0.000    0.000    0.108    0.108 runner.py:1(<module>)
        1    0.000    0.000    0.108    0.108 bz2.py:5(<module>)
        2    0.000    0.000    0.107    0.054 base.py:1(<module>)
        1    0.000    0.000    0.107    0.107 __init__.py:19(<module>)
        1    0.000    0.000    0.105    0.105 linecache.py:6(<module>)
        1    0.000    0.000    0.105    0.105 optimize.py:17(<module>)
   165342    0.102    0.000    0.102    0.000 six.py:131(<genexpr>)
     5500    0.041    0.000    0.102    0.000 _methods.py:53(_mean)
        1    0.000    0.000    0.101    0.101 polynomial.py:56(<module>)
     5126    0.027    0.000    0.101    0.000 numerictypes.py:964(find_common_type)
    16478    0.100    0.000    0.100    0.000 {built-in method numpy.core.multiarray.concatenate}
     2500    0.060    0.000    0.099    0.000 _methods.py:86(_var)
        1    0.000    0.000    0.096    0.096 fftpack.py:32(<module>)
        1    0.000    0.000    0.095    0.095 dis.py:1(<module>)
        1    0.000    0.000    0.094    0.094 arrayprint.py:5(<module>)
        1    0.000    0.000    0.094    0.094 pickle.py:24(<module>)
        1    0.000    0.000    0.091    0.091 _linprog.py:16(<module>)
    42471    0.045    0.000    0.090    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.088    0.088 linalg.py:10(<module>)
        1    0.000    0.000    0.087    0.087 decoder.py:2(<module>)
    60366    0.086    0.000    0.086    0.000 {method 'index' of 'list' objects}
    11352    0.084    0.000    0.084    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    32769    0.036    0.000    0.084    0.000 atoms.py:241(set_calculator)
    31636    0.042    0.000    0.083    0.000 atoms.py:379(set_pbc)
    42098    0.028    0.000    0.081    0.000 defmatrix.py:357(_collapse)
    87527    0.080    0.000    0.080    0.000 {method 'format' of 'str' objects}
 1878/939    0.005    0.000    0.080    0.000 ulm.py:342(__init__)
     7502    0.010    0.000    0.075    0.000 ulm.py:420(get)
     1032    0.073    0.000    0.075    0.000 {built-in method posix.remove}
 1878/939    0.023    0.000    0.074    0.000 ulm.py:364(_parse_data)
    29196    0.074    0.000    0.074    0.000 {built-in method builtins.sum}
    73661    0.047    0.000    0.074    0.000 linalg.py:124(_realType)
    24768    0.072    0.000    0.072    0.000 dftb.py:273(<listcomp>)
        1    0.000    0.000    0.071    0.071 __init__.py:2(<module>)
    97563    0.047    0.000    0.070    0.000 linalg.py:111(isComplexType)
    45385    0.070    0.000    0.070    0.000 {method 'tell' of '_io.BufferedWriter' objects}
     2827    0.069    0.000    0.069    0.000 {built-in method numpy.core.multiarray.fromfile}
        1    0.000    0.000    0.068    0.068 __init__.py:11(<module>)
    31630    0.033    0.000    0.068    0.000 atoms.py:342(set_celldisp)
     5160    0.007    0.000    0.067    0.000 iso8859_15.py:22(decode)
     2500    0.006    0.000    0.066    0.000 shape_base.py:468(split)
    55114    0.065    0.000    0.065    0.000 distance.py:188(_filter_deprecated_kwargs)
    62419    0.056    0.000    0.065    0.000 atoms.py:262(set_constraint)
     4129    0.064    0.000    0.064    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     1037    0.019    0.000    0.064    0.000 formats.py:527(filetype)
      100    0.000    0.000    0.063    0.001 krr_ase.py:172(<listcomp>)
    31630    0.034    0.000    0.062    0.000 atoms.py:589(set_initial_magnetic_moments)
    10252    0.049    0.000    0.062    0.000 numerictypes.py:942(_can_coerce_all)
        2    0.000    0.000    0.062    0.031 __init__.py:9(<module>)
     6154    0.061    0.000    0.061    0.000 {built-in method _codecs.charmap_decode}
    17904    0.036    0.000    0.061    0.000 jsonio.py:9(default)
    31630    0.034    0.000    0.061    0.000 atoms.py:542(set_momenta)
     2500    0.030    0.000    0.059    0.000 shape_base.py:419(array_split)
    90233    0.059    0.000    0.059    0.000 ulm.py:184(<genexpr>)
