nan {'sigma': 20, 'reg': 1e-07}
1.20813068607e-05 {'sigma': 20, 'reg': 1e-07}
0.115438867602 {'sigma': 20, 'reg': 1e-07}
0.231848657599 {'sigma': 20, 'reg': 1e-07}
0.13493760004 {'sigma': 20, 'reg': 1e-07}
0.00139605039124 {'sigma': 20, 'reg': 1e-07}
         9406140 function calls (9306530 primitive calls) in 16.929 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8354    0.039    0.000    0.050    0.000 backend_pdf.py:99(fill)
    10029    0.012    0.000    0.050    0.000 artist.py:341(set_transform)
      177    0.003    0.000    0.050    0.000 collections.py:105(__init__)
       12    0.000    0.000    0.050    0.004 offsetbox.py:265(get_window_extent)
     3780    0.010    0.000    0.049    0.000 fromnumeric.py:55(_wrapfunc)
        1    0.000    0.000    0.049    0.049 text.py:3(<module>)
      168    0.002    0.000    0.049    0.000 spines.py:44(__init__)
      159    0.001    0.000    0.048    0.000 collections.py:893(__init__)
       36    0.001    0.000    0.048    0.001 contour.py:1111(changed)
     7755    0.009    0.000    0.047    0.000 re.py:286(_compile)
       21    0.001    0.000    0.047    0.002 helpFunctions.py:53(plotStruct)
     8550    0.008    0.000    0.047    0.000 axis.py:291(_set_artist_props)
     1344    0.012    0.000    0.046    0.000 ticker.py:1695(_staircase)
      828    0.001    0.000    0.046    0.000 axis.py:364(_get_text2_transform)
     5173    0.013    0.000    0.046    0.000 text.py:238(update)
      180    0.000    0.000    0.045    0.000 backend_pdf.py:1458(writeObject)
      346    0.004    0.000    0.045    0.000 _base.py:2276(handle_single_axis)
      828    0.004    0.000    0.045    0.000 _base.py:741(get_xaxis_text2_transform)
        1    0.000    0.000    0.044    0.044 _axes.py:1(<module>)
       24    0.001    0.000    0.044    0.002 axis.py:2354(get_tick_space)
      180    0.001    0.000    0.044    0.000 backend_pdf.py:239(write)
       24    0.001    0.000    0.044    0.002 axis.py:2017(get_tick_space)
       10    0.000    0.000    0.043    0.004 six.py:159(_resolve)
    25301    0.023    0.000    0.043    0.000 cbook.py:678(iterable)
        1    0.000    0.000    0.042    0.042 __init__.py:7(<module>)
       85    0.000    0.000    0.042    0.000 pyplot.py:3809(text)
        1    0.000    0.000    0.042    0.042 request.py:68(<module>)
    10207    0.010    0.000    0.042    0.000 atoms.py:378(set_pbc)
 1040/760    0.005    0.000    0.042    0.000 transforms.py:402(_get_bounds)
    51171    0.024    0.000    0.042    0.000 core.py:6192(isMaskedArray)
      104    0.001    0.000    0.042    0.000 _base.py:297(_makeline)
       85    0.001    0.000    0.042    0.000 _axes.py:568(text)
    23362    0.028    0.000    0.041    0.000 _weakrefset.py:26(__exit__)
    91218    0.040    0.000    0.040    0.000 {built-in method builtins.iter}
      120    0.001    0.000    0.039    0.000 __init__.py:2280(__init__)
     1572    0.003    0.000    0.039    0.000 transforms.py:1927(rotate_deg)
     5394    0.008    0.000    0.039    0.000 lines.py:753(set_transform)
     7686    0.025    0.000    0.038    0.000 font_manager.py:720(__hash__)
       40    0.001    0.000    0.038    0.001 offsetbox.py:680(draw)
  718/700    0.006    0.000    0.038    0.000 transforms.py:1091(get_points)
      114    0.000    0.000    0.038    0.000 re.py:231(compile)
     3739    0.005    0.000    0.038    0.000 font_manager.py:813(set_family)
